Post Text,LLM Response,Parsed Code,Parsed Microlabel,Parsed Macrolabel,date,About Israel
"Tim Kellner: „Wir leben wirklich in ganz, ganz dunklen Zeiten“ ❌

Der Prozess gegen den Kult-Satiriker Tim Kellner wegen angeblicher Beleidigung von Politikern wirkte auf Beobachter grotesk. Im Exklusiv-Interview mit AUF1-Redakteur Daniel Matissek fragt der, als Videoblogger „Love Priest“, einem Millionenpublikum bekannte Kellner: Lag das Urteil schon fertig in der Schublade? Würde Klaus Kinsky heute auch vor Gericht gestellt werden? Kellner empfindet das Urteil als Witz und warnt zugleich vor der „links-grünen Meinungsdiktatur“: Denn alles was von der „erwünschten SED-2.0-Meinung“,  abweiche, hätte die soziale Ächtung und den Ausschluss aus der Gesellschaft zur Folge.

➡️ Den ganzen Beitrag AUF1.TV ansehen: https://auf1.tv/nachrichten-auf1/tim-kellner-im-auf1-interview-wir-leben-wirklich-in-ganz-ganz-dunklen-zeiten",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-05T18:00:50.000Z,0
"Die UN-Vollversammlung hat soeben eine Resolution zur Verbesserung der humanitären Situation und für eine sofortige Waffenruhe im Gazastreifen verabschiedet.

🇺🇳 Länder, die gegen die UN-Resolution stimmten:

🇦🇹 Österreich
🇺🇸 Vereinigte Staaten
🇭🇷 Kroatien
🇨🇿 Tschechische Republik
🇫🇯 Fidschi
🇬🇹 Guatemala
🇭🇺 Ungarn
🇮🇱 Israel
🇲🇭 Marshallinseln
🇫🇲 Mikronesien
🇳🇷 Nauru
🇵🇬 Papua-Neuguinea
🇵🇾 Paraguay
🇹🇴 Tonga

🇩🇪 Deutschland hat sich enthalten.

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-27T20:13:14.000Z,1
BILD:  2015 vs. 2023,23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-13T08:22:30.000Z,0
"💥Vor dem Wendepunkt der Geschichte brennt vermeintlich die Welt, in ""Washington stehen alle Ampeln auf Rot"" und das ""entzündete Pulverfass"" - Israels ""9/11 und Pearl Harbor"" -  ist medial das beherrschende Thema. Nach den Angriffen der Hamas erklärte Israel offiziell das erste Mal seit 1973 den Krieg, machte Teile von Gaza dem Erdboden gleich, bombardierte Syrien und setzte verbotene Waffen ein. Der Plan des dritten Weltkrieges, wie er von Hochgrad-Freimaurer Albert Pike bereits im vorletzten Jahrhundert beschrieben wurde, geht aber zum wiederholten Male aus verschiedenen Gründen nicht auf. Die wichtigste Tageszeitung Israels macht Netanjahu für die eskalierte Gewalt verantwortlich und selbst die eigene Partei wendet sich gegen ihn. Das von den Alt-Medien verbreitete ""Märchen von der Überraschung Israels"" war nicht lange haltbar. Man fragte sich schnell, warum Israel und die USA den Angriff der Hamas zugelassen haben und sah ein offensichtliches ""Let-it-happen-Szenario"", das durch diverse teils erschreckende Zeugenaussagen unterstützt wird. Ägypten erhob kurz nach den Angriffen schwere Vorwürfe und inzwischen liest man im Mainstream, dass die Geheimdienste Israels Hinweise ignoriert haben. Seymour Hersh meint, Netanyahu sei am Ende und ""ein wandelnder Toter"". Dies sieht auch die Mehrheit der Israelis so und es formiert sich ein breiter Widerstand. Saudi Arabien und Palästinenserpräsent Abbas verurteilten die Hamas-Taten, bei der Arabischen Liga gibt es eine ""überraschende Einigkeit"" und inzwischen sind Friedensverhandlungen in aller Munde. Auch in Amerika haben viele ""keine Lust auf Krieg"" und die Presse fragt sich, ob Biden am Nahostkonflikt scheitern bzw. es eine Meuterei gegen ihn geben könne. Die Lügengeschichte von den ""enthaupteten Babys"" musste von vom Weißen Haus bzw. später CNN korrigiert werden. 

💥 Der Wind in der Berichterstattung hat sich gedreht und es gibt Meldungen über die ""übelsten Fakes"" im Krieg, die ""geheime Bunkerwelt"" in Gaza, Hunderttausende Antisemiten"", die ins Land gelassen wurden und Netanjahu, der den ""Wind gesät"" habe. War der sog. ""importierte Judenhass"" gestern noch Tabu bzw. Verschwörungstheorie, ist er heute sichtbar. Es kam teils zu erheblichen Ausschreitungen und das führt zu einer Neubewertung der Thematik Migration und Sicherheit. Für manche Linke bricht eine Welt zusammen, da Muslime nun von manchen als Täter und nicht als Opfer gesehen werden. Gleichzeitig gibt es den ""Schulterschluss zwischen linker und islamistischer Ideologie"". Aktuell sorgen Aussagen von Greta Thunberg  und der Fridays for Future Sprecherin für Empörung und sogar Lanz und Precht sind mit ""Antisemitismus"" konfrontiert. Die vor kurzem noch als rechtsextrem eingestuften Aussagen von Scholz & Co. zur Migrationspolitik werden von vielen als ""Doppelmoral und arglistige Täuschungen"" bewertet.

💥 ""Der Israel/Palästina-Konflikt erweist sich als die ultimative Waffe der Spaltung. Selbst innerhalb der Wahrheitsbewegung und der alternativen Medien hat dieser schreckliche Krieg einen Keil getrieben."" Manche differenzieren leider immer noch nicht zwischen Zionismus und Judentum. Als Basis und für einen groben Überblick über die Historie des Konflikts kann dieser Beitrag hilfreich sein. Auch Eggerts Beiträge über den ""messianischen Kult"" oder ""Wie eine satanische Sekte die Welt kaperte"" liefern Hintergrundinformationen. Zeitlich knapper ist diese Videoanalyse auch hinsichtlich der Rolle Putins. Für den Gesamtkontext elementar ist der Trump-Plan, der hier in zwei Teilen einfach erklärt wird und die nun sechs Jahre andauernde ""ApoQlypse"", die hier nochmal neu zusammengefasst wurde. Verschiedene Fragen zur rechtlichen bzw. historische Situation Deutschlands werden in diesem aktuellen Vortrag beantwortet.

💥 ""Die meisten Menschen haben nicht die geringste Ahnung, was für ein gigantisches Rad zur Zeit auf diesem Planeten zurück gedreht wird."" ""Wir erleben gerade die größte Transformation und Revolution der Menschheit! Dieser Prozess ist eine Tatsache und nicht aufzuhalten."" Alles wird gut! 

Audio

@Qbavaria",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-23T05:17:17.000Z,1
"Originelle Überschrift in der ""Frankfurter Allgemeinen"": 
""AfD-Parteichef Chrupalla muss während Kundgebung ins Krankenhaus"".
Über einen Autounfall würde das Blatt wohl so berichten: 
""Mann muss während Autofahrt ins Krankenhaus"".
Was hätten Sie noch für Vorschläge?",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-04T23:22:50.000Z,0
"„Weil die nächste Fraktion größer wird, kann sie auch im Alleingang die Einsetzung von Untersuchungsausschüssen fordern.“

https://www.hessenschau.de/politik/landtagswahl/nach-erfolg-bei-hessen-wahl-afd-kuendigt-corona-untersuchungsausschuss-an-v1,afd-untersuchungsaussschuss-100.html

t.me/Rosenbusch",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-09T13:52:41.000Z,0
"Zu viel Info – zu wenig Zeit

04.10.2023


Die Geschichte der Deutschen ist eine Geschichte voller Missverständnisse! 


Zum Kanal: https://t.me/Blickwinkel
Zum Lesen: https://t.me/ZvizwZ/269",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-04T06:25:34.000Z,0
"Die Tim Kellner Show bei AUF1 - Episode 5

In dieser exklusiven Ausgabe für AUF1 führt der „Love Priest“ Tim Kellner den ganzen tagespolitischen Irrsinn in gewohnter Art und Weise satirisch vor. In Episode 5 thematisiert Tim Kellner unter anderem seine Verurteilung im Fall Baerbock, die Stellungnahme von Elon Musk zum Flüchtlingsthema, die Verleihung des Medizin-Nobelpreis für mRNA-Forschung und noch vieles mehr…

🤡 Warnhinweis: Diese Sendung kann politisch unkorrekten Humor und satirische Verdrehungen beinhalten!

Hier die ganze Sendung „Tim Kellner Show“ ansehen: ▶️ https://auf1.tv/love-priest-tim-kellner/die-tim-kellner-show-bei-auf1-episode-5",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-09T17:01:03.000Z,0
"Die Tim Kellner Show bei AUF1 - Episode 5

In dieser exklusiven Ausgabe für AUF1 führt der „Love Priest“ Tim Kellner den ganzen tagespolitischen Irrsinn in gewohnter Art und Weise satirisch vor. In Episode 5 thematisiert Tim Kellner unter anderem seine Verurteilung im Fall Baerbock, die Stellungnahme von Elon Musk zum Flüchtlingsthema, die Verleihung des Medizin-Nobelpreis für mRNA-Forschung und noch vieles mehr…

🤡 Warnhinweis: Diese Sendung kann politisch unkorrekten Humor und satirische Verdrehungen beinhalten!

Hier die ganze Sendung „Tim Kellner Show“ ansehen: ▶️ https://auf1.tv/love-priest-tim-kellner/die-tim-kellner-show-bei-auf1-episode-5",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-10T09:31:01.000Z,0
"Anklage-Kartenhaus gegen Ballweg zusammengebrochen.
GAU für die Staatsanwaltschaft, Triumph für Querdenken-Gründer.
War seine Verfolgung Rechtsbeugung? Das Landgericht Stuttgart weigert sich, das Symbol der Corona-Proteste überhaupt erst vor Gericht zu stellen. Hier mein neuer Text: https://reitschuster.de/post/anklage-kartenhaus-gegen-ballweg-zusammengebrochen/",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-10T21:38:55.000Z,0
"gute Nachrichten!
💪🏻 Überwachung der kompletten mobilen Kommunikation vom Tisch....vorerst

✊Widerstand zahlt sich eben aus, Freunde!✊

Dem großen Widerstand, insbesondere dem in Holland, ist es geschuldet , dass die Abstimmung zur Chatkontrolle  vom Tisch ist. 
VORERST: Leider wurde die Abstimmung nur verschoben und steht im Dezember wieder an.

Kein Mainstream-Medium berichtet darüber: KEINES.
Dabei würde diese Kontrolle dem Gesetzgeber erlauben, ALLES auf deinem Handy zu durchforsten...zu jeder Zeit.
Alle deine Apps, alle deine Nachrichten an Eltern, Kinder, Kollegen, Freunde und Partner.
Was du witzig findest, deine Memes die du dir abspeicherst und weiterschickst, alle deine Fotos die du machst oder erhältst....einfach ALLES.

Warum gibt es kein Riesen-Medien-Aufgebot in Brüssel?

✊Teilt das!✊

Denn:
1️⃣ sind es gute Nachrichten
2️⃣ müssen die Menschen erfahren, dass sie es im Dezember wieder versuchen werden!

Quelle

👉 auf telegram 👉auf substack 👉auf youtube 👉auf odysee 👉auf Twitter
.",25,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-18T14:57:01.000Z,0
